 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,25.547,11.548,22.088,0,159,295.004,1,12125
2,25.547,12.011,23.309,0,177,306.853,1,12612
3,25.547,11.556,22.987,0,167,295.223,1,12134
4,25.547,1.830,4.924,0,49,46.763,0,1922
5,25.547,1.651,4.390,0,41,42.189,0,1734
6,25.547,1.774,4.554,0,47,45.327,0,1863
7,25.547,1.663,4.741,0,67,42.481,0,1746
8,25.547,2.001,4.661,0,37,51.118,0,2101
9,25.547,1.858,4.668,0,60,47.468,0,1951
10,25.547,1.937,4.689,0,38,49.488,0,2034
11,25.547,1.832,5.028,0,70,46.811,0,1924
12,25.547,1.886,4.510,0,36,48.174,0,1980
13,25.547,1.561,3.989,0,37,39.877,0,1639
14,25.547,1.669,4.272,0,38,42.627,0,1752
15,25.547,1.562,3.704,0,28,39.902,0,1640
16,25.547,1.962,5.247,0,76,50.120,0,2060
17,25.547,1.570,4.158,0,41,40.121,0,1649
18,25.547,1.808,4.453,0,50,46.179,0,1898
19,25.547,1.644,4.031,0,40,41.994,0,1726
20,25.547,1.634,4.413,0,52,41.751,0,1716
21,25.547,1.497,3.721,0,30,38.247,0,1572
22,25.547,1.737,4.523,0,51,44.378,0,1824
23,25.547,1.675,4.823,0,91,42.797,0,1759
24,25.547,1.700,4.507,0,57,43.429,0,1785
25,25.547,1.798,4.930,0,52,45.935,0,1888
26,25.547,1.616,4.347,0,46,41.288,0,1697
27,25.547,1.473,3.756,0,40,37.639,0,1547
28,25.547,1.423,4.002,0,51,36.349,0,1494
29,25.547,1.608,4.424,0,46,41.069,0,1688
30,25.547,1.803,4.540,0,44,46.057,0,1893
31,25.547,1.584,4.217,0,43,40.461,0,1663
32,25.547,1.587,4.057,0,37,40.534,0,1666
33,25.547,1.655,4.529,0,70,42.286,0,1738
34,25.547,1.441,3.908,0,36,36.812,0,1513
35,25.547,1.659,4.203,0,40,42.383,0,1742
36,25.547,1.810,4.494,0,44,46.227,0,1900
37,25.547,1.809,4.624,0,46,46.203,0,1899
38,25.547,1.624,4.082,0,46,41.483,0,1705
39,25.547,1.604,4.524,0,50,40.972,0,1684
40,25.547,1.658,4.100,0,45,42.359,0,1741
