 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,29.707,4.026,7.767,0,60,119.607,1,4916.000
2,29.707,4.437,9.297,0,95,131.821,1,5418.000
3,29.707,4.333,8.526,0,58,128.731,1,5291.000
4,29.707,0.857,2.626,0,27,25.449,0,1046.000
5,29.707,0.906,2.412,0,26,26.909,0,1106.000
6,29.707,0.977,2.551,0,37,29.026,0,1193.000
7,29.707,1.004,2.614,0,28,29.829,0,1226.000
8,29.707,1.002,2.456,0,29,29.756,0,1223.000
9,29.707,1.002,2.485,0,27,29.780,0,1224.000
10,29.707,1.076,2.642,0,22,31.970,0,1314.000
11,29.707,0.906,2.320,0,22,26.909,0,1106.000
12,29.707,1.023,2.497,0,22,30.388,0,1249.000
13,29.707,0.867,2.318,0,28,25.766,0,1059.000
14,29.707,0.977,2.501,0,24,29.026,0,1193.000
15,29.707,1.041,2.936,0,31,30.924,0,1271.000
16,29.707,0.987,2.521,0,24,29.318,0,1205.000
17,29.707,0.993,2.490,0,20,29.488,0,1212.000
18,29.707,0.876,2.338,0,22,26.033,0,1070.000
19,29.707,0.925,2.716,0,52,27.493,0,1130.000
20,29.707,0.877,2.301,0,23,26.058,0,1071.000
21,29.707,0.869,2.320,0,26,25.814,0,1061.000
22,29.707,0.969,2.335,0,17,28.783,0,1183.000
23,29.707,0.940,2.484,0,23,27.931,0,1148.000
24,29.707,0.961,3.107,0,49,28.539,0,1173.000
25,29.707,0.988,2.568,0,32,29.342,0,1206.000
26,29.707,0.970,2.459,0,19,28.807,0,1184.000
27,29.707,0.996,2.546,0,28,29.586,0,1216.000
28,29.707,1.004,2.599,0,23,29.829,0,1226.000
29,29.707,1.035,2.943,0,46,30.753,0,1264.000
30,29.707,0.875,2.398,0,24,25.985,0,1068.000
31,29.707,0.975,2.691,0,34,28.953,0,1190.000
32,29.707,0.965,2.735,0,34,28.661,0,1178.000
33,29.707,1.049,2.919,0,29,31.167,0,1281.000
34,29.707,0.908,2.436,0,22,26.982,0,1109.000
35,29.707,1.183,2.964,0,29,35.133,0,1444.000
36,29.707,1.117,2.885,0,23,33.186,0,1364.000
