 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,36.398,6.629,12.937,0,129,241.283,1,9917.000
2,36.398,6.571,13.085,0,113,239.166,1,9830.000
3,36.398,6.276,12.021,0,115,228.436,1,9389.000
4,36.398,1.130,3.267,0,41,41.142,0,1691.000
5,36.398,1.170,3.200,0,28,42.602,0,1751.000
6,36.398,1.018,2.789,0,34,37.055,0,1523.000
7,36.398,1.055,2.661,0,24,38.393,0,1578.000
8,36.398,0.850,2.026,0,19,30.924,0,1271.000
9,36.398,0.988,2.371,0,23,35.960,0,1478.000
10,36.398,1.147,2.988,0,37,41.751,0,1716.000
11,36.398,1.011,2.658,0,27,36.787,0,1512.000
12,36.398,1.139,2.914,0,33,41.459,0,1704.000
13,36.398,1.172,3.538,0,82,42.651,0,1753.000
14,36.398,1.029,2.614,0,24,37.444,0,1539.000
15,36.398,1.051,2.751,0,27,38.247,0,1572.000
16,36.398,0.977,2.502,0,33,35.546,0,1461.000
17,36.398,1.042,2.670,0,25,37.931,0,1559.000
18,36.398,1.006,2.746,0,36,36.617,0,1505.000
19,36.398,0.983,2.638,0,25,35.790,0,1471.000
20,36.398,1.100,2.897,0,39,40.023,0,1645.000
21,36.398,0.984,2.538,0,26,35.814,0,1472.000
22,36.398,1.044,2.835,0,32,38.004,0,1562.000
23,36.398,1.043,2.865,0,50,37.979,0,1561.000
24,36.398,0.999,2.911,0,51,36.374,0,1495.000
25,36.398,0.999,2.911,0,51,36.374,0,1495.000
26,36.398,1.040,2.776,0,34,37.858,0,1556.000
27,36.398,1.035,2.652,0,25,37.663,0,1548.000
28,36.398,1.043,4.266,0,120,37.955,0,1560.000
29,36.398,1.053,3.468,0,78,38.344,0,1576.000
30,36.398,0.970,2.501,0,22,35.303,0,1451.000
31,36.398,0.936,2.717,0,57,34.062,0,1400.000
32,36.398,0.971,2.708,0,39,35.352,0,1453.000
33,36.398,0.955,2.795,0,26,34.744,0,1428.000
34,36.398,1.088,3.052,0,31,39.585,0,1627.000
35,36.398,0.961,2.670,0,35,34.987,0,1438.000
36,36.398,1.058,2.864,0,32,38.515,0,1583.000
37,36.398,0.969,2.639,0,33,35.279,0,1450.000
38,36.398,1.017,2.967,0,53,37.031,0,1522.000
39,36.398,0.971,2.588,0,24,35.327,0,1452.000
40,36.398,0.976,2.662,0,33,35.522,0,1460.000
