 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,27.736,10.335,19.133,0,126,286.659,0,11782.000
2,27.736,10.302,18.948,0,109,285.734,0,11744.000
3,27.736,10.797,20.096,0,122,299.481,0,12309.000
4,27.736,5.314,11.307,0,93,147.392,0,6058.000
5,27.736,6.172,12.843,0,96,171.187,0,7036.000
6,27.736,6.184,12.308,0,98,171.528,0,7050.000
7,27.736,6.475,12.894,0,86,179.606,0,7382.000
8,27.736,6.611,13.714,0,80,183.352,0,7536.000
9,27.736,6.968,14.969,0,152,193.279,0,7944.000
10,27.736,7.015,14.329,0,88,194.569,0,7997.000
11,27.736,6.725,14.216,0,117,186.515,0,7666.000
12,27.736,6.589,13.626,0,80,182.744,0,7511.000
13,27.736,6.495,12.897,0,115,180.141,0,7404.000
14,27.736,5.932,12.258,0,92,164.521,0,6762.000
15,27.736,6.705,13.014,0,85,185.980,0,7644.000
16,27.736,6.089,11.882,0,88,168.876,0,6941.000
17,27.736,6.479,12.775,0,82,179.703,0,7386.000
18,27.736,6.172,12.187,0,121,171.187,0,7036.000
19,27.736,6.288,12.032,0,81,174.399,0,7168.000
20,27.736,6.524,12.541,0,89,180.944,0,7437.000
21,27.736,6.095,11.807,0,79,169.046,0,6948.000
22,27.736,6.636,11.928,0,82,184.058,0,7565.000
23,27.736,6.596,12.399,0,76,182.963,0,7520.000
24,27.736,6.777,12.918,0,115,187.975,0,7726.000
25,27.736,6.549,12.047,0,79,181.649,0,7466.000
26,27.736,6.254,11.628,0,73,173.450,0,7129.000
27,27.736,6.684,12.484,0,88,185.396,0,7620.000
28,27.736,6.760,12.140,0,74,187.489,0,7706.000
29,27.736,6.554,12.027,0,72,181.771,0,7471.000
30,27.736,6.869,12.308,0,69,190.530,0,7831.000
31,27.736,6.575,12.082,0,72,182.379,0,7496.000
32,27.736,7.125,13.221,0,145,197.634,0,8123.000
33,27.736,6.750,12.433,0,80,187.221,0,7695.000
34,27.736,7.094,12.888,0,72,196.758,0,8087.000
35,27.736,6.886,12.699,0,84,190.992,0,7850.000
