 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,61.750,15.237,42.863,0,255,940.898,1,38672.000
2,61.750,14.671,41.431,0,255,905.935,1,37235.000
3,61.750,14.441,40.883,0,255,891.702,1,36650.000
4,61.750,3.918,13.072,0,141,241.915,0,9943.000
5,61.750,5.157,15.839,0,144,318.434,0,13088.000
6,61.750,5.732,17.041,0,157,353.956,0,14548.000
7,61.750,6.214,18.354,0,167,383.736,0,15772.000
8,61.750,6.721,19.391,0,160,415.049,0,17059.000
9,61.750,7.022,19.856,0,158,433.613,0,17822.000
10,61.750,7.356,20.638,0,215,454.221,0,18669.000
11,61.750,7.593,20.864,0,164,468.892,0,19272.000
12,61.750,7.708,21.270,0,197,475.948,0,19562.000
13,61.750,7.853,21.164,0,174,484.901,0,19930.000
14,61.750,7.933,21.289,0,149,489.840,0,20133.000
15,61.750,8.371,22.698,0,197,516.920,0,21246.000
16,61.750,8.454,23.050,0,195,522.005,0,21455.000
17,61.750,8.193,21.759,0,165,505.922,0,20794.000
18,61.750,8.051,21.797,0,161,497.164,0,20434.000
19,61.750,8.500,22.342,0,160,524.851,0,21572.000
20,61.750,8.025,21.232,0,174,495.533,0,20367.000
21,61.750,8.529,21.744,0,193,526.676,0,21647.000
22,61.750,8.286,21.991,0,165,511.689,0,21031.000
23,61.750,8.515,23.111,0,194,525.776,0,21610.000
24,61.750,8.578,22.934,0,175,529.669,0,21770.000
25,61.750,8.753,23.325,0,188,540.520,0,22216.000
26,61.750,9.016,24.206,0,180,556.748,0,22883.000
27,61.750,9.253,25.299,0,207,571.395,0,23485.000
28,61.750,9.233,25.077,0,222,570.154,0,23434.000
29,61.750,9.498,26.253,0,190,586.480,0,24105.000
30,61.750,9.313,25.741,0,208,575.069,0,23636.000
31,61.750,9.214,25.836,0,209,568.986,0,23386.000
32,61.750,9.606,27.780,0,222,593.146,0,24379.000
33,61.750,9.080,25.932,0,195,560.690,0,23045.000
