 ,Area,Mean,StdDev,Min,Max,IntDen,Median,RawIntDen
1,12.262,14.159,18.794,0,127,173.620,7,7136
2,12.262,14.464,18.242,0,95,177.367,7,7290
3,12.262,14.036,18.668,0,101,172.112,6,7074
4,12.262,1.944,4.000,0,29,23.844,0,980
5,12.262,2.127,4.426,0,28,26.082,0,1072
6,12.262,1.909,4.253,0,34,23.406,0,962
7,12.262,2.073,4.481,0,27,25.425,0,1045
8,12.262,2.185,4.336,0,30,26.788,0,1101
9,12.262,1.720,3.971,0,37,21.094,0,867
10,12.262,2.081,4.306,0,30,25.522,0,1049
11,12.262,1.996,4.147,0,34,24.476,0,1006
12,12.262,1.784,4.200,0,44,21.873,0,899
13,12.262,1.986,4.006,0,28,24.355,0,1001
14,12.262,2.147,4.460,0,36,26.325,0,1082
15,12.262,2.149,4.750,0,42,26.350,0,1083
16,12.262,2.020,4.035,0,25,24.768,0,1018
17,12.262,1.863,4.023,0,24,22.846,0,939
18,12.262,2.143,4.444,0,32,26.277,0,1080
19,12.262,1.978,4.639,0,39,24.257,0,997
20,12.262,2.155,4.334,0,29,26.423,0,1086
21,12.262,1.873,5.030,0,62,22.968,0,944
22,12.262,1.919,4.089,0,30,23.527,0,967
23,12.262,1.861,3.916,0,28,22.822,0,938
24,12.262,1.974,4.216,0,30,24.209,0,995
25,12.262,1.806,3.918,0,27,22.140,0,910
26,12.262,1.829,3.803,0,21,22.432,0,922
27,12.262,1.923,4.088,0,25,23.576,0,969
28,12.262,1.823,4.312,0,37,22.359,0,919
29,12.262,1.929,4.417,0,31,23.649,0,972
30,12.262,1.647,3.925,0,34,20.194,0,830
31,12.262,2.069,4.483,0,36,25.376,0,1043
32,12.262,1.597,3.505,0,23,19.586,0,805
33,12.262,1.558,3.458,0,26,19.099,0,785
34,12.262,2.256,4.791,0,43,27.663,0,1137
35,12.262,1.740,3.870,0,33,21.338,0,877
36,12.262,1.571,3.562,0,27,19.270,0,792
37,12.262,1.438,3.448,0,30,17.639,0,725
38,12.262,1.603,3.606,0,29,19.659,0,808
39,12.262,1.413,3.235,0,28,17.323,0,712
40,12.262,1.671,3.636,0,24,20.486,0,842
